ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YDL128W,VCX1,"Vacuolar membrane antiporter with Ca2+/H+ and K+/H+ exchange activity, involved in control of cytosolic Ca2+ and K+ concentrations; has similarity to sodium/calcium exchangers, including the bovine Na+/Ca2+,K+ antiporter",6,636.370,580.684,807.934,662.532,601.155,803.161,611.087,838.711,692.397,1011.350
YDR088C,SLU7,"RNA splicing factor, required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain",21,3901.460,3983.870,4059.920,3782.440,3906.930,4519.410,4452.510,4200.280,5416.520,5627.830
YGL130W,CEG1,"Alpha (guanylyltransferase) subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CET1, an RNA 5'-triphosphatase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide",35,4972.810,5476.160,5372.470,5108.330,5326.610,5928.370,5866.260,5818.810,5536.370,5493.920
YNR046W,TRM112,Subunit of tRNA methyltransferase (MTase) complexes in combination with Trm9p and Trm11p; subunit of complex with Mtq2p that methylates Sup45p (eRF1) in the ternary complex eRF1-eRF3-GTP; deletion confers resistance to zymocin,6,1942.350,933.072,1225.470,2383.020,2793.350,1369.660,1320.160,1051.760,1929.590,1454.030
YML076C,WAR1,"Homodimeric Zn2Cys6 zinc finger transcription factor; binds to a weak acid response element to induce transcription of PDR12 and FUN34, encoding an acid transporter and a putative ammonia transporter, respectively",22,3251.510,3788.340,3161.820,3641.600,3640.610,4054.150,3953.170,3995.150,4223.310,4003.690
YOR358W,HAP5,"Subunit of the heme-activated, glucose-repressed Hap2/3/4/5 CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; required for assembly and DNA binding activity of the complex",10,1057.770,1256.620,1488.580,1042.910,1062.810,1812.270,1364.810,1891.350,1732.570,1874.880
YLR330W,CHS5,"Component of the exomer complex, which also contains Csh6p, Bch1p, Bch2p, and Bud7p and is involved in export of selected proteins, such as chitin synthase Chs3p, from the Golgi to the plasma membrane",44,9272.620,7928.570,9746.180,9136.710,9451.610,9050.980,9739.590,10782.500,10005.100,9520.270
YEL026W,SNU13,"RNA binding protein, part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein",26,7587.980,3011.190,3222.320,7030.020,7459.720,3475.890,2641.170,4956.110,3605.620,3229.100
YDR099W,BMH2,"14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling",203,26405.400,38494.200,36266.900,24685.000,23516.300,38921.100,37491.500,28088.600,35373.800,35453.400
YER177W,BMH1,"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling",34,2845.860,2852.080,2787.030,2968.130,2941.970,3382.230,2850.250,2263.980,2952.410,3268.590
YML013W,UBX2,Protein involved in ER-associated protein degradation; proposed to coordinate the assembly of proteins involved in ERAD; contains a UBX (ubiquitin regulatory X) domain and a ubiquitin-associated (UBA) domain,28,3253.580,6481.060,8091.140,3630.170,3543.500,6268.390,8400.640,5890.420,7360.850,6122.140
YMR042W,ARG80,Transcription factor involved in regulation of arginine-responsive genes; acts with Arg81p and Arg82p,3,162.311,33.793,73.596,188.067,224.066,70.296,84.689,126.832,184.590,130.029
YGR063C,SPT4,"Protein involved in the regulating Pol I and Pol II transcription, pre-mRNA processing, kinetochore function, and gene silencing; forms a complex with Spt5p",17,2329.820,1245.510,1479.350,2098.670,2568.140,1640.640,1265.470,1639.090,1783.990,1508.040
YGL211W,NCS6,"Protein required for thiolation of the uridine at the wobble position of Gln, Lys, and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae",10,1944.740,1307.320,1826.560,2519.310,2765.290,1699.430,1590.450,1281.320,1853.940,1921.480
YGR012W,YGR012W,"Putative cysteine synthase, localized to the mitochondrial outer membrane",35,7133.950,9235.750,10462.100,7460.560,7901.750,10438.700,11157.400,9584.550,9856.700,9647.640
YER006W,NUG1,"GTPase that associates with nuclear 60S pre-ribosomes, required for export of 60S ribosomal subunits from the nucleus",47,16424.300,4045.120,6462.690,13980.900,17092.400,4501.660,5223.760,5453.130,7512.130,5655.480
YGR168C,YGR168C,Putative protein of unknown function; YGR168C is not an essential gene,3,161.888,246.034,277.487,151.317,172.131,277.116,310.898,190.039,286.784,363.976
YKR028W,SAP190,"Protein that forms a complex with the Sit4p protein phosphatase and is required for its function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p",34,6873.950,6753.780,5858.250,6551.380,6713.960,6759.850,7044.980,6258.560,6448.530,6097.960
YCL014W,BUD3,Protein involved in bud-site selection and required for axial budding pattern; localizes with septins to bud neck in mitosis and may constitute an axial landmark for next round of budding,49,14025.200,5939.630,8551.120,14358.200,13518.100,9134.400,8722.820,8084.330,8033.650,10028.700
YGL238W,CSE1,"Nuclear envelope protein that mediates the nuclear export of importin alpha (Srp1p), homolog of metazoan CAS protein, required for accurate chromosome segregation",41,11449.800,6413.050,6707.330,10945.300,11288.100,6029.930,6459.670,4621.140,6216.910,6647.120
YGL254W,FZF1,"Transcription factor involved in sulfite metabolism, sole identified regulatory target is SSU1, overexpression suppresses sulfite-sensitivity of many unrelated mutants due to hyperactivation of SSU1, contains five zinc fingers",11,1992.360,3269.330,3107.360,1772.290,1940.200,3333.900,3617.660,2798.600,3096.220,3154.580
YLR143W,YLR143W,Putative protein of unknown function; green fluorescent protein (GFP)-tagged protein localizes to the cytoplasm; YLR143W is not an essential gene,26,4387.670,3778.370,3797.260,4615.420,5429.500,3608.470,3887.580,2933.720,4106.110,3223.860
YDR109C,YDR109C,Putative kinase,21,2813.580,3868.340,3054.100,3100.940,2843.140,3508.190,4361.620,2858.690,3350.430,3763.740
YNL283C,WSC2,Partially redundant sensor-transducer of the stress-activated PKC1-MPK1 signaling pathway involved in maintenance of cell wall integrity and recovery from heat shock; secretory pathway Wsc2p is required for the arrest of secretion response,6,779.938,140.023,400.956,860.072,774.360,258.850,330.637,315.039,386.537,513.563
YNL255C,GIS2,"Translational activator for mRNAs with internal ribosome entry sites; associates with polysomes and binds to a specific subset of mRNAs; ortholog of human ZNF9/CNBP, a gene involved in myotonic dystrophy type 2",66,11141.000,13089.000,11943.000,15785.900,17344.800,12040.700,11704.700,4032.510,11244.700,9227.010
YLR262C-A,TMA7,"Protein of unknown that associates with ribosomes; null mutant exhibits translation defects, altered polyribosome profiles, and resistance to the translation inhibitor anisomcyin",17,6530.840,4073.630,4589.740,7291.020,9491.310,5258.830,5577.880,2831.440,9621.750,6457.050
YMR148W,OSW5,Protein of unknown function that may play a role in spore wall assembly; predicted to contain an N-terminal transmembrane domain; osw5 null mutant spores exhibit increased spore wall permeability and sensitivity to beta-glucanase digestion,9,434.752,891.726,1090.510,452.926,348.222,924.033,1114.000,825.199,597.899,989.581
YMR216C,SKY1,SR protein kinase (SRPK) involved in regulating proteins involved in mRNA metabolism and cation homeostasis; similar to human SRPK1,31,6161.740,6389.820,7323.220,6469.610,6289.720,7199.320,6374.700,5509.450,6779.680,6971.240
YDR080W,VPS41,Vacuolar membrane protein that is a subunit of the homotypic vacuole fusion and vacuole protein sorting (HOPS) complex; essential for membrane docking and fusion at the Golgi-to-endosome and endosome-to-vacuole stages of protein transport,33,6313.870,5951.180,5752.840,6533.410,6476.300,6463.800,6701.660,6160.370,6372.180,6720.810
YLL021W,SPA2,"Component of the polarisome, which functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate",105,29303.600,13902.800,16702.700,27862.600,27610.000,18287.400,15020.700,17976.200,21261.900,20311.300
YBR295W,PCA1,"Cadmium transporting P-type ATPase; may also have a role in copper and iron homeostasis; stabilized by Cd binding, which prevents ubiquitination; S288C and other lab strains contain a G970R mutation which eliminates Cd transport function",1,412.803,496.435,518.141,359.530,367.122,433.593,572.313,982.772,454.428,729.036
YGR108W,CLB1,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome",6,572.428,85.480,347.024,545.143,520.101,219.017,441.545,151.529,693.965,409.320
YPR119W,CLB2,"B-type cyclin involved in cell cycle progression; activates Cdc28p to promote the transition from G2 to M phase; accumulates during G2 and M, then targeted via a destruction box motif for ubiquitin-mediated degradation by the proteasome",12,1633.380,177.986,856.132,1436.840,1523.280,440.584,978.049,585.782,1815.620,934.070
YJL136C,RPS21B,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps21Ap and has similarity to rat S21 ribosomal protein,44,14084.900,5384.780,4776.630,13338.700,14209.900,5293.090,5094.770,7544.960,6237.720,5884.890
YKR057W,RPS21A,Protein component of the small (40S) ribosomal subunit; nearly identical to Rps21Bp and has similarity to rat S21 ribosomal protein,5,224.980,120.564,105.816,209.766,242.228,102.746,111.402,126.740,131.092,107.681
YML069W,POB3,"Subunit of the heterodimeric FACT complex (Spt16p-Pob3p), which associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases",73,16998.200,14057.300,15471.700,16438.000,16195.500,14252.800,15898.500,16389.800,14237.500,13207.000
YCR035C,RRP43,"Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp43p (OIP2, EXOSC8)",25,7497.730,6421.750,6076.950,7858.330,8233.640,6128.310,6234.700,5571.990,6218.430,6562.420
YDR391C,YDR391C,"Putative protein of unknown function, possibly involved in zinc homeostasis; Bdf1p-dependent transcription induced by salt stress; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus",9,2347.170,1942.820,1845.980,2618.290,1843.020,2376.060,2073.970,1617.530,1940.640,1428.140
YNL121C,TOM70,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins,100,22611.100,24176.400,25121.800,23389.300,23816.500,26408.000,23941.300,34083.700,26001.300,28504.000
YER048C,CAJ1,"Nuclear type II J heat shock protein of the E. coli dnaJ family, contains a leucine zipper-like motif, binds to non-native substrates for presentation to Ssa3p, may function during protein translocation, assembly and disassembly",63,13929.900,13338.600,15631.100,12316.100,13081.400,13085.800,13771.100,15896.500,14848.700,12169.500
YJL100W,LSB6,"Type II phosphatidylinositol 4-kinase that binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization",13,920.062,2256.300,3234.230,1122.890,882.416,2016.050,2371.330,2780.840,1952.220,2498.870
YDR361C,BCP1,"Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport",29,9175.790,4863.200,5221.200,8310.020,9449.280,4767.750,4933.940,4573.960,6226.230,5260.150
YGR127W,YGR127W,"Putative protein of unknown function; expression is regulated by Msn2p/Msn4p, indicating a possible role in stress response",23,1305.940,7848.650,5430.350,1485.660,1269.170,7503.970,7259.270,2936.800,3174.100,5106.810
YFR039C,YFR039C,Putative protein of unknown function; may be involved in response to high salt and changes in carbon source; deletion mutant has decreased spore survival in Drosophila feces,20,4208.020,2018.110,4525.420,3800.320,3932.100,3288.180,3745.210,4074.810,4700.470,3753.690
YGR279C,SCW4,Cell wall protein with similarity to glucanases; scw4 scw10 double mutants exhibit defects in mating,25,7277.790,2162.140,5248.770,7716.040,6868.080,4689.980,4846.740,4409.910,4086.230,14319.800
YDR261C,EXG2,"Exo-1,3-beta-glucanase, involved in cell wall beta-glucan assembly; may be anchored to the plasma membrane via a glycosylphosphatidylinositol (GPI) anchor",21,5073.940,1749.700,2013.680,4655.830,4514.750,2090.790,1935.690,1656.610,2222.180,2477.710
YDL064W,UBC9,SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC),13,5690.150,4236.730,4332.120,5052.480,5499.900,4689.470,4303.870,3327.460,4342.550,4829.710
YCL034W,LSB5,"Protein of unknown function; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization; may mediate disassembly of the Pan1 complex from the endocytic coat",19,2784.760,3273.980,3107.020,2750.990,2824.830,3647.550,2877.000,2909.310,2896.800,2934.500
YNL004W,HRB1,"Poly(A+) RNA-binding protein, involved in the export of mRNAs from the nucleus to the cytoplasm; similar to Gbp2p and Npl3p",22,5700.110,5031.260,5955.030,5373.430,5339.280,5961.530,6230.380,5035.890,6596.610,6999.710
YMR244C-A,YMR244C-A,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS; YMR244C-A is not an essential gene,17,1397.550,3850.530,4758.640,1740.710,1755.080,4495.590,3689.490,8163.400,5378.150,5626.650
